homestay_id,destination_id,homestay_name,province,district,municipality,latitude,longitude,price_per_night,rating,review_count,review,room_type,max_guests,amenities,best_season,description,phone,booking_url,image_url
H3_03,3,Ghachowk Farm House - Double Room,Gandaki,Kaski,,28.5306624,83.7260023,,,,,,,,,"Machhapuchchhre 33700, Nepal",,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHK7GDg--zHT1GYrsld8pnenxpTY6ZqQPeUGn86r2ZZfms2nUAYbkgB6UYnB-fz6BlqX6zhdGeRls_sXP22tRUdqbcZ2TjLDbNdr7nrEdstG5H3_pb52xN2TnHvNoVXp4qLZ__A7UfPmAQ6MUwby1fGsEpDAGfJKpkVjE68pecp_J2cqgg28_8u=w408-h272-k-no
H5_02,5,Sapana Village Lodge,Bagmati,Chitwan,,27.5897707,84.1872465,,4.6,643,"I had the moMy stay at Sapana was truly exceptional. The resort grounds were immaculate, and the amenities outstanding. The staff were consistently helpful, friendly, and professional. My guide, Janak, was extraordinary and quickly became a …",,,,,"National Park, Baghmara Road, Ratnanagar 44200, Nepal",+977 56-580308,http://www.sapanalodge.com/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnp06YQDfZgq3eireQpEk55d9url0jDC5odU7o5SR-ltOvQ9lZTWTToULCf0ojE697SqEbmZICSQEp4IwayKdndF2fqHcaJzzON_1kud0jXI4EjdpoQ4PtBByGSa4p7hyyf4SsXDA=w408-h272-k-no
H5_03,5,Kings jungle safari & Culture home stay,Bagmati,Chitwan,,27.5696201,83.9294281,,1.4,,,,,,,"Narayani 44200, Nepal",,https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D120002785%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE5cniMelOI0pe9YXj_W1lkLzdKph00drtQti_5XY82qM2bXrUqV7a93u6wPMtGPjfdlMHrAK-0EQILi8yjnTc_Kdb_g-sJozTnwAspsb0OPKBS9GECt2qG31dL0U2G9d6TD37sBRRNKgMpXJ7ynWIeonFXVvf8XQLhyxG6XQKdUBBzia0GgD8=w408-h272-k-no
H5_04,5,Wildflow jungle yoga safari and homestay - Triple Room with Private Bathroom,Bagmati,Chitwan,,27.5688896,83.9289017,,,,,,,,,"Narayani 44200, Nepal",,https://br.bluepillow.com/search/694976c40c60a53fb7d1d230?dest=nuit&cat=Vacation+rental+%28other%29&lat=27.56889&lng=84.23377&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE8rPyFMWH0QuE5H6cr20ITeuNB3bzPxit0xSziVIoYEQ0dXldBg5WAKAIqj9Ok0Ci0UfGmmmxQskvRerS78pm86PHb-2hDHXpZ7Emg8YUBuSCBcpctU8vb1uHthx4qnwJsN5bS3X9Q5b2xRbIA6leiRP1ECsRTvl3V4kS_QEXYzyyJmcAwKdQ=w408-h272-k-no
H5_05,5,Shanta Ghar A Rustic Guesthouse,Bagmati,Chitwan,,27.5897707,84.1872465,,4.7,,,,,,,"Madi 44200, Nepal",,https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4528275%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGFPY-aK0XQTroBA2vDcq46GX9FO3HCCLywjGFVb46pswy7b0l507ig59BKZe_z52yxqgbvfZLJfB908C_biHnlYJJ31W4r3TGxc64cqv75rQh3VzEA0OtNiglHCkCZrHWWipw_LDPw1nd6KtmXHFoxTOh2arDs42nOTMXHC7WgLailUimb9KdA=w426-h240-k-no
H6_01,6,Tathāgata Homestay,Lumbini,Rupandehi,,27.4670756,78.4083501,,4.4,41,"Winter the hot showers were welcome, many places have roof water heaters and cold/warm water only.
On the edge of town to be lovely and quiet (no traffic) but still near enough to …",,,,,"Street No. 7, Lumbini Sanskritik 32914, Nepal",+977 985-7024046,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm1W-l_etOqjPddHNcEbtU2xVtUNzwa0KNmboUDTUyIcPFglhlHXJHp3P_mfGRQJZYBTo0D8VW1Rbzg3Bq0gChwDR1EOzQSE1SWuAVFIfIuhJPJ20d9Hk3oTmQaJrIiUW1l4Hc=w408-h306-k-no
H6_02,6,Tathāgata Homestay,Lumbini,Rupandehi,,27.4670756,78.4083501,,4.4,41,"Winter the hot showers were welcome, many places have roof water heaters and cold/warm water only.
On the edge of town to be lovely and quiet (no traffic) but still near enough to …",,,,,"Street No. 7, Lumbini Sanskritik 32914, Nepal",+977 985-7024046,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm1W-l_etOqjPddHNcEbtU2xVtUNzwa0KNmboUDTUyIcPFglhlHXJHp3P_mfGRQJZYBTo0D8VW1Rbzg3Bq0gChwDR1EOzQSE1SWuAVFIfIuhJPJ20d9Hk3oTmQaJrIiUW1l4Hc=w408-h306-k-no
H6_03,6,Lumbini Garden Lodge,Lumbini,Rupandehi,,27.4670756,78.4083501,,4.0,316,The full review will appear in my YT channel Road My Life Hindi (Pune to Ayodhya / Nepal Series) …,,,,,"Street No. 1 , Mahilwar Bazaar Lumbini cultural municipality -10, Lumbini 32914, Nepal",+977 71-580146,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWksRS8SCYYzSLbYzs-m14LG_CXZBkFIO-IVFT2GeGa6Iiwuo3wFRiv27uBWRQpWRHD63dAipdNgYpr-Uc9olpMt2WOqZfM6jmJ0z4cczSNxSWS6M4dxkLtuqYKoi_cT9OyIcSOJ=w408-h318-k-no
H6_04,6,Lumbini Village Lodge,Lumbini,Rupandehi,,27.4670756,78.4083501,,4.2,401,"Located just 3 minute away from the gates of the Sacred Garden, the Lodge provides great food and rooms that suit our every need. I would particularly commend the kindness and frankness of the owner and his loving family for stating hotel …",,,,,"Lumbini Market, Lumbini Sanskritik 32900, Nepal",+977 71-580432,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmMWb1vJ1TyzeFi-_Fk-qyPTylYOw8DjLtF0u7oFFW71nAgS6lUV5COcJ32H8OgT2mswKEiVYlNSdJE4xnFXgK1U4YE3VfterSfGTbpXblipVNMZrR5jjS64oXWMIWhHePcMA4S=w519-h240-k-no
H6_05,6,Lumbini Heritage Home,Lumbini,Rupandehi,,27.4670756,78.4083501,,4.5,71,Stayed with a group. Nice clean. But mozzies were there as usual. Saw a nice clean pool but we didn’t swim. Breakfast was good and service good. Had dinner there and good too. Really value for money.,,,,,"Nagbahal-16, 5 minute walking distance from Patan Durbar Square, Lalitpur 44700, Nepal",+977 984-0466686,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF15KP-qS5u7wLTrvURN0Oge_ttOv67cZFzGCUmAkRMgkl-sFP_UM8eNdQOrFqYMwa8TmJd822ZiawW-BTv2i9FRgAqXBPLbshOE-cCq0_1QoGV5MrGwMcnN52Locgi0a1LoYcIEM9hIIeSVEFD5AKPcF8UrM_dYn2rEteNSrrE4QfTMMwNuDY=w408-h272-k-no
H7_02,7,Swoyambhu view homestay,Bagmati,Kathmandu,,27.7174477,84.0601057,,4.9,27,,,,,,"P79H+6R7, Kathmandu 44600, Nepal",+977 984-5910616,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlp6PYAM5Sds_I0NMwPP4bmr7pWSPcRyQK4SUEcLQOAsUGAmFSLCSTgBE8hEPPIyK2Pg6_SjL1oWyJGr19ovopRnPjHhnlJKD3vVOnqJF6XyLNvHaRI6aBygcoNlmi7OcOgyjLLbXKi1SLo=w408-h306-k-no
H7_03,7,Peace Homestay,Bagmati,Kathmandu,,27.7284737,80.4167279,,4.8,54,,,,,,"P7HV+QHM, Janajagriti Marg, Kathmandu 44600, Nepal",+977 982-3432892,https://www.peacehomestay.com/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlC6gfUPccyl70zlJ29XkCfUPUt0f9S2U1y2Zloox18FXsFMtRaspitlrzMOSgnufTShOjnRG47NPnWmaGYG0GeMjMRWBBfDHQFsW0F1qcUKyGTvAqn3b8q4qswhERKZQehmCTURQ=w408-h544-k-no
H7_04,7,Monkey Temple Homestay,Bagmati,Kathmandu,,27.7144304,80.4201395,,4.0,130,"Stay Period: 27 April – 3 May||AVOID. YOU CAN GET BETTER AMENITIES AND SERVICE WITH IN THE SAME PRICE IN OTHER HOTELS. ||I stayed at this property for several nights and, unfortunately, the experience was disappointing due to multiple …",,,,,"bijeswori, Swayambhu Marg, Kathmandu 44600, Nepal",+977 984-1885644,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGt4dvRQ0CZk7tog-D5ijVUcVTCIguwYC7CVp1vsCV8wUxq9U6L7qUcP6fC7Klw9yVhETOmHpRSdSrxXfYX3XT1z5LEsx8BbNZZMJ8W64yZEp2yDYXGWvpg6Tfz0gJOXQX2VNKDlxFuBWDL5ttqs7_G5HDZW-JXp6aKI5itNGZQTk_ymAOQMGESTA=w408-h380-k-no
H7_05,7,Mums Homestay & Apartments- A Real Homestay Experience,Bagmati,Kathmandu,,27.7310819,80.4066279,,4.6,242,"Mira and Sudarshan were very friendly, thoughtful and caring hosts. Lots of interesting walks can be made from the homestay and it is very relaxing to be away from the mania of downtown Kathmandu. They helped me sort out treatment for a …",,,,,"Nagarjune-1, Radhakrishna Temple, 6 Manakamanamarga, Street, Kathmandu 44600, Nepal",+977 984-9117965,https://admin.booking.com/hotel/hoteladmin/extranet_ng/manage/home.html?hotel_id=1890269&ses=36d4e005741730e0ed26508d9b66315b&lang=xu,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkYNtkWgFya1UBTs_F7SNW4JmBzJSzIwJNkFFsKYxhyRnPaA4UCGIx_CdIjtz6sfiKiosiAeQ102WeyBt4vYffarMajVMWZBi7Brn5gHZGLr_gpPXgH7c-caT8mXfNVFe3Z-JLp=w408-h272-k-no
H8_02,8,Nest HomeStay & Adventure Pashupatinath,Bagmati,Kathmandu,,27.7107178,84.1264407,,4.8,23,"Amazing host and a beautiful place with a rich heritage feel.

We stayed here for two nights with our group in mid-January, and it was a …",,,,,"Temple, Kathmandu 44600, Nepal",+977 985-1116800,https://www.nesthomeshare.com/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnHaQ9r1ihpd0CCnD6j-sh84ibDKFtoJdt9mfL91NYgH-E1Er_hqsQarQMZdrqoddbwpaQkv0NC7dNe4E9uGgI2YwoXi7OXwZbAL6i79efU4W-VVo3774DbXcSyw9p8vm-GOacnoMKYERo=w408-h579-k-no
H8_03,8,Mums Homestay & Apartments- A Real Homestay Experience,Bagmati,Kathmandu,,27.7107178,84.1264407,,4.6,242,"Mira and Sudarshan were very friendly, thoughtful and caring hosts. Lots of interesting walks can be made from the homestay and it is very relaxing to be away from the mania of downtown Kathmandu. They helped me sort out treatment for a …",,,,,"Nagarjune-1, Radhakrishna Temple, 6 Manakamanamarga, Street, Kathmandu 44600, Nepal",+977 984-9117965,https://admin.booking.com/hotel/hoteladmin/extranet_ng/manage/home.html?hotel_id=1890269&ses=36d4e005741730e0ed26508d9b66315b&lang=xu,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkYNtkWgFya1UBTs_F7SNW4JmBzJSzIwJNkFFsKYxhyRnPaA4UCGIx_CdIjtz6sfiKiosiAeQ102WeyBt4vYffarMajVMWZBi7Brn5gHZGLr_gpPXgH7c-caT8mXfNVFe3Z-JLp=w408-h272-k-no
H8_04,8,Peace Homestay,Bagmati,Kathmandu,,27.7107178,84.1264407,,4.8,54,,,,,,"P7HV+QHM, Janajagriti Marg, Kathmandu 44600, Nepal",+977 982-3432892,https://www.peacehomestay.com/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlC6gfUPccyl70zlJ29XkCfUPUt0f9S2U1y2Zloox18FXsFMtRaspitlrzMOSgnufTShOjnRG47NPnWmaGYG0GeMjMRWBBfDHQFsW0F1qcUKyGTvAqn3b8q4qswhERKZQehmCTURQ=w408-h544-k-no
H8_05,8,Swagat Home Stay,Bagmati,Kathmandu,,27.7107178,84.1264407,,4.8,61,"We truly had the privilege of staying at Swagat Homestay. I came from Canada, and my three friends traveled all the way from Malaysia and from the moment we arrived, we felt completely at home. …",,,,,"Maiti Devi Marg, Kathmandu 44600, Nepal",+977 980-8228013,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlf02K0OG914UhA3r6mnNQpufjV2MGf0En6LHiVJeR6wzki5uIbkcpOgEUcuYfVsGB6CQrHDVkHIS6iVA3p_pQ6SlALzOIWke-5Ml_eHNWsudx68PvlxquBSOp1hTNOr5ohO_mYrg=w408-h544-k-no
H9_02,9,Bedroom with Balcony and Boudha Stupa View - Entire Place,Bagmati,Kathmandu,,27.72081,85.339363,,4.3,,,,,,,"Kathmandu 44600, Nepal",,https://www.booking.com/hotel/np/rich-red-carpet-room-with-a-boudha-view-balcony.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15332647&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15332647_grp-3_gendate-20260711,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEtdH5YxKRZUeDTsIptLfZge6FoobxcHVybcDdr2eEV942itZJLlzWYX8X8uFmPTuAMrTpyptXzxcHx65jTe8x7UywMhSpUbvsEqLpBMuGUmBrgKxGTDcGf8Wr6GmHxOOSEQTJGm4d33GACEbn5k4GGKLZNrS643BdjvrF1-mkRZF8Gtl6rIiP1=w437-h240-k-no
H9_03,9,Quiet Forest room 1 min from Stupa - Entire Place,Bagmati,Kathmandu,,27.722216,85.3371655,,3.5,,,,,,,"Kathmandu 44600, Nepal",,https://www.booking.com/hotel/np/leaves-of-linden-by-boudha.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15332508&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15332508_grp-0_gendate-20260711,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHdrEFFycIfKi7SIAUZAsY0XRw2WnrnnSD7kMBSEGaDj-fiASla8tNBMiSIh58zIDS0gVGG851pCA8ZwIw4dNHTDDJw_gSNUwP29r0HAFgVv1MEgNyybpQvyYWQC6iLlKJ39he8qCCk3gQfbefCPhb-tR6OeWA9jaYVRdTwMVx6FiSyyUF3EmDI=w437-h240-k-no
H9_04,9,Hidden Garden Stay Your Home Near Boudha Stupa - Entire Place,Bagmati,Kathmandu,,27.722216,85.3371655,,4.3,,,,,,,"Kathmandu 44600, Nepal",,https://www.booking.com/hotel/np/hidden-garden-stay-your-home-near-boudha-stupa.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13913456&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13913456_grp-0_gendate-20260711,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGax2fwQOa66UyptRQjWy986_4A5IB9DYuWn7jMmdZGvXvszzK9tRL9BlcqKZOWQkHMbF2qy1otgC8Ae0te0vZMuPBmtDOXYzOEHqbXkk9yi9CA0icw8OUuscCRrBetJT5RtDQgRxn16wqLY710VRC2LVjFX99L5YeQhm6pXcmigKL739nYW7J_=w437-h240-k-no
H9_05,9,Big Traditional Room with Boudha Stupa View - Entire Place,Bagmati,Kathmandu,,27.722216,85.3371655,,4.0,,,,,,,"Kathmandu 44600, Nepal",,https://www.booking.com/hotel/np/big-blue-room-by-bouddha.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15332200&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15332200_grp-0_gendate-20260711,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFZh03hU8EZacvix3c5gb3APHwPHtI6Vu5H-xNARob0C7kQjSc1cHy4jFjvxmvzYqG14FY_lLy8tg1Z3MwpxLEqNuBvChI-xZo-PYVfA5dINbhLuABlWZISydISQPp1r9BdPj3yT9f8f2hVGVlC-YyF_ZfxpruYHwAJYmVKoHntZi0CNiKwKbBiLg=w437-h240-k-no
H10_02,10,Jhochhen Rooms - One-Bedroom Apartment with Balcony,Bagmati,Kathmandu,,27.7025299,85.2689438,,,,,,,,,"Kathmandu 44600, Nepal",,https://br.bluepillow.com/search/681241035250632c59552869?dest=bkng&cat=House&lat=27.70253&lng=85.30705&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFNCBKunfsPhBABXzzb7sQ8L9qD3xhzXmJxwivUjZWeBiyAnxjWMEtsXWFrX_jn_YnzpMyv4f-TgxALDPvuaaSRtCDDMBw9xqkLiM7abJTOlOUtnpH_knMQGFKOeh1SFLzu4kRdkAKe4L0u-zKNYPhl5fRPD6OvMs4-IbHvk3LB-vGiVG-26BwW=w408-h545-k-no
H10_03,10,Cityview Guest House - Standard Studio,Bagmati,Kathmandu,,27.7031708,85.2867928,,,,,,,,,"Kathmandu 44600, Nepal",,https://www.freecancellations.com/search/F2ZySwRVSnRUDVNRXglRRQsODUpgTANH?lat=27.70317&lng=85.30585&language=de,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH8ZAFHz81mAa7nNEAD11CCb2YmbksOKZAH_TESP1tp-5rsBordgRZp623fgHoGjhtKq5vk-UE-tUjLAHj_YGFiy6fDsiN58eLfMn318vhiLghtZSMA6oTw5nRzCxEE78p0u_t1rLGNSkwHOG_BGQ1U6mE2Yq7lg2bDsADGgoorsix7VyuzwH_u=w408-h272-k-no
H10_04,10,Green House Lodge - Twin Room with Terrace,Bagmati,Kathmandu,,27.7018509,85.2886162,,4.3,,,,,,,"Kathmandu 44600, Nepal",,https://br.bluepillow.com/search/5df4f344e24da45b685c79fb/580616504?dest=bkng&cat=House&lat=27.70185&lng=85.30767&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGIe0kzPtyk2Hcz-Kf4xpqL6UTky9ITgwXGqdqJyamvEVWovTFF4t9qj-01H8awB8n-9pNHBHb1ht0KLcSjNwQkSlibgMc_2TAgBIpTJZaK5wKe3Oc_lkXs9tWRIGipTVwedhtstwEbRXjt62Uhn1N1OLWSVfJtK-EcQKmKfxXWB9rTtaTLAmY=w408-h545-k-no
H10_05,10,"Family Peace House, Kathmandu - Single Room with Private Bathroom",Bagmati,Kathmandu,,27.7181205,85.2894249,,5.0,,,,,,,"Kathmandu 44600, Nepal",,https://www.freecancellations.com/search/FDt1RFBVS3sEXFcBDVhQR1BXWxhlQ1JG?lat=27.71812&lng=85.30848&language=de,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGZ5m1j7zpMUtq_ZAkTeZwozyS0zaQL8jvYZdi9ZHtjKleHbHi4eqDo3NW7Ks6lqz-Eu6BLkTAt4wcptEZ_y5FWUXxlHGCatKTRK3HwlKo5MiQWn0JC4G2_1agLVF-FABM8BGc88Rdd81gADJkfRX-xjjRj3MMWyw2FFFH4KC_qJ9vHGOgP8a1F4Q=w408-h272-k-no
H11_02,11,Jhochhen Rooms - One-Bedroom Apartment with Balcony,Bagmati,Bhaktapur,,27.7025299,85.2689438,,,,,,,,,"Kathmandu 44600, Nepal",,https://br.bluepillow.com/search/681241035250632c59552869?dest=bkng&cat=House&lat=27.70253&lng=85.30705&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFNCBKunfsPhBABXzzb7sQ8L9qD3xhzXmJxwivUjZWeBiyAnxjWMEtsXWFrX_jn_YnzpMyv4f-TgxALDPvuaaSRtCDDMBw9xqkLiM7abJTOlOUtnpH_knMQGFKOeh1SFLzu4kRdkAKe4L0u-zKNYPhl5fRPD6OvMs4-IbHvk3LB-vGiVG-26BwW=w408-h545-k-no
H11_03,11,Green House Lodge - Twin Room with Terrace,Bagmati,Bhaktapur,,27.7018509,85.2886162,,4.3,,,,,,,"Kathmandu 44600, Nepal",,https://br.bluepillow.com/search/5df4f344e24da45b685c79fb/580616504?dest=bkng&cat=House&lat=27.70185&lng=85.30767&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGIe0kzPtyk2Hcz-Kf4xpqL6UTky9ITgwXGqdqJyamvEVWovTFF4t9qj-01H8awB8n-9pNHBHb1ht0KLcSjNwQkSlibgMc_2TAgBIpTJZaK5wKe3Oc_lkXs9tWRIGipTVwedhtstwEbRXjt62Uhn1N1OLWSVfJtK-EcQKmKfxXWB9rTtaTLAmY=w408-h545-k-no
